user,rate_date,content,append,sku,status
淘***家,2025-05-05 14:41:38,国补自动确认收货的，用了一星期，很好，拍照也很清晰，长时间用还是有点发热，问题不大，希望能用久点，之前买的相对价格不高但是用两年就不行了，换算起来一年也需要1000多，还不如买个好点的,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
茜***佑,2025-04-27 20:54:52,外观设计漂亮,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
l***爷,2025-04-02 15:41:05,不愧为国货大品牌！等到了享受国家补贴了，华为手机杠杠滴，用起来很丝滑，必须点赞👍👍👍👍👍👍,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
t***2,2025-05-06 20:30:24,网上说的那些缺点确实是有，容易发热、电掉得快，但是习惯用华为了，所以还是选择买了，外型也确实美丽的，到手机比较重，加个壳就更重了，这个相机镜头让人要好好注意保护 网上说这上面的旗舰店不是华为完全直营的，是什么和神州合作的，有的线下不认，这个更是搞不清楚了，但我去线下的旗舰店免费还是认的,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
t***2,2025-03-30 12:10:42,通信音质：杠杠滴，通话音质很好，音质也很好，值得购买！ 不愧是遥遥领先，支持中国人自己的争气机,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
蓝***啦,2025-04-26 10:06:57,目前使用还蛮好的，外观手感确实不错。功能也很多😊,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
大***y,2025-04-24 18:59:42,手机目前还不错，速度很快，挺丝滑,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
太***呆,2025-04-17 07:23:04,挺好上手，手感也还不错,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
s***m,2025-04-16 18:37:35,手感很好，使用感也很好，用了国补到手很划算，支持华为。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
才***9,2025-04-15 11:43:26,手机是想要的款式，手感很好，速度快，一直是华为的老客户,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
雪***哒,2025-04-14 10:16:40,挺好用的手机，白色的挺好看也挺流畅很喜欢,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
t***8,2025-04-24 10:36:19,好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞👍,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
t***9,2025-04-30 14:55:09,已使用5天，充电是超级快不到半个小时充满电，就是机子发烫，玩游戏时手机也发热，续航可以，不玩游戏的话一天是可以的。外观漂亮，运行流畅，拍照清晰。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
t***8,2025-04-12 13:19:36,在使用这款手机的过程中，我深刻体验到了其出色的性能和优秀的用户体验。首先，手机的处理器强大，运行流畅，无论是日常使用还是运行大型应用都能轻松应对。其次，屏幕显示效果极佳，色彩鲜艳且对比度高，无论是看视频还是玩游戏都能带来极佳的视觉体验。再者，手机的电池续航能力也相当出色，即使在频繁使用的情况下也能保持长时间的续航。  总的来说，这款手机在性能、显示效果和电池续航等方面都表现出色，是一款值得推荐的优秀产品。对于追求高性能和良好体验的用户来说，这款手机无疑是一个很好的选择。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
雪***苏,2025-04-23 11:23:55,开始电池挺烫的，过几天就好了。电池不是很耐用，比我原来用了三年的荣耀续航好点，也不如荣耀方便，就开发票来说，它不自动弹出浏览器，也无法复制图片上任意一行字，荣耀完全可以。,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
乃***0,2025-04-22 17:18:12,发货速度比预告的快，机身宽度合适手感不错。操作还是蛮流畅的，其它还要慢慢观察。喜欢的型号实体店老是断货，还是网上买省时省力了。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
一***星,2025-04-17 11:03:09,手感很好！看到网上有人说会买到后封机，我这个应该不是，安全下车了～充电的时候会有一点发热，可以接受。今天刚拿到手，先用一段时间看看吧。开心。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
j***1,2025-04-03 09:22:03,纠结很久继续用🍎还是换华为，实体店看了一次就特别喜欢，实物更漂亮，运行很流畅，不愧是遥遥领先，,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
一***8,2025-04-02 14:41:56,今天买。明天到。质量合格。是我喜欢的 想要的  国补货 没问题👌 快递配送很快 快递小哥也很热情,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
y***6,2025-04-02 07:20:27,质量非常好，非常满意的一次购物。客服有问必答，非常专业，从OPPO党变华为党,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
淘***家,2025-05-05 14:41:38,国补自动确认收货的，用了一星期，很好，拍照也很清晰，长时间用还是有点发热，问题不大，希望能用久点，之前买的相对价格不高但是用两年就不行了，换算起来一年也需要1000多，还不如买个好点的,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
茜***佑,2025-04-27 20:54:52,外观设计漂亮,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
l***爷,2025-04-02 15:41:05,不愧为国货大品牌！等到了享受国家补贴了，华为手机杠杠滴，用起来很丝滑，必须点赞👍👍👍👍👍👍,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
t***2,2025-05-06 20:30:24,网上说的那些缺点确实是有，容易发热、电掉得快，但是习惯用华为了，所以还是选择买了，外型也确实美丽的，到手机比较重，加个壳就更重了，这个相机镜头让人要好好注意保护 网上说这上面的旗舰店不是华为完全直营的，是什么和神州合作的，有的线下不认，这个更是搞不清楚了，但我去线下的旗舰店免费还是认的,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
t***2,2025-03-30 12:10:42,通信音质：杠杠滴，通话音质很好，音质也很好，值得购买！ 不愧是遥遥领先，支持中国人自己的争气机,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
蓝***啦,2025-04-26 10:06:57,目前使用还蛮好的，外观手感确实不错。功能也很多😊,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
大***y,2025-04-24 18:59:42,手机目前还不错，速度很快，挺丝滑,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
太***呆,2025-04-17 07:23:04,挺好上手，手感也还不错,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
s***m,2025-04-16 18:37:35,手感很好，使用感也很好，用了国补到手很划算，支持华为。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
才***9,2025-04-15 11:43:26,手机是想要的款式，手感很好，速度快，一直是华为的老客户,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
山***人,2025-03-31 12:01:53,想去是真不错！耗电没有评论里说得那么快，充一次能用好久。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
c***n,2025-05-11 08:33:05,使用后感觉可以，用时没有发烫，掉电也没有像有些人说的快，正常使用没有问题，拍照效果很好,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
k***c,2025-03-08 13:14:54,华为pura70pro，国补优惠价格，感觉不亏，使用起来还是很得心应手，尤其拍照功能，远焦仍能保持清晰画质,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
t***4,2025-04-02 00:25:27,这型号外型漂亮，运行流畅。特别是能享受国䃼。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
t***0,2025-04-16 12:03:25,第一次线上买手机，华为官方旗舰店，顺丰快递，感谢快递小哥周到服务，手机稳重大方，开始使用。,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
秦***羽,2025-04-16 18:55:02,此用户没有填写评论!,用了快一个月了，系统很流畅，用着跟舒服！上一个手机也是华为，传输数据贼快，还继承了我的账号密码，简直是帮了大忙！,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
好***3,2025-03-09 15:20:22,机子工艺很好！拍照好！升级系统玩王者荣耀流畅，满足日常，安装其他APP有很多功能没有，继续等待完善。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
世***的,2025-03-07 19:13:20,手感好，很得劲😌,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
t***9,2025-03-13 10:00:41,此用户没有填写评论!,快递很，手机真的太好用呀。是个正品拍照很漂亮，是个好手机。,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
t***1,2025-04-09 16:04:33,手机非常棒，拍照清晰 显示效果：显示效果细腻，看久了眼睛没有那么疲劳 通信音质：信号好得很,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
1***y,2025-03-06 19:53:43,手机发货速度很快，用了快有一个星期，主要用的是拍照，晴天拍照是非常棒，阴天拍照一般般。充电很快，耗电也正常，没有发热。总之，华为手机值得拥有。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
y***8,2025-04-30 09:30:09,机器不错,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
t***5,2025-04-28 20:01:04,就是发货时间比较迟，其他没毛病,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
t***0,2025-04-23 18:22:13,非常满意这次网购！商品质量一流，与描述完全相符。,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
豌***i,2025-04-05 20:42:40,手机很好，充电非常快，非常信任的一个手机品牌。,,机身颜色:雪域白;存储容量:12GB+256GB;套餐类型:官方标配,
小***5,2025-04-03 16:03:22,新手机还不错。就是才到手3天，一不小心游戏就卡死了，这是我的问题吗？,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
请***慧,2025-04-02 10:28:19,我太喜欢华为了，,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
虚***子,2025-03-22 08:37:54,手机出厂自带保护膜右上角有划痕，但是客服服务态度很好，可以去线下店免费贴膜。手机运行流畅，用着舒适，摄像功能强大。再也不用担心拍照啦。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
凝***亚,2025-04-12 12:47:55,罗兰紫的颜色比想象中好看，哑哑的，很有质感和调调。手机用着也顺手。满意的。,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
t***7,2025-04-09 12:46:10,整体还行，就是充电满，耗电快，还发热，一般吧,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
t***7,2025-04-08 11:23:17,此用户没有填写评论!,手机体验还不错，唯一失望的就是机子是个4G手机，有点烦,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
t***0,2025-03-04 17:28:21,亲爱的小红书家人们～今天要给大家安利一款我最近超级爱的产品！😍  这款产品真的是绝绝子！首先来说说它的简介吧～它是一款全新的智能家居产品，名字叫做&ldquo;智慧小助手&rdquo;。🌟它的外观设计超级简洁大方，黑色的外壳配上银色的边框，看起来就很有科技感。而且它的体积也不大，放在家里任何角落都不会显得突兀。🏡  接下来要说说它的优点啦！首先，它的功能真的是强大到不行！它可以帮你控制家里的各种电器设备，比如空调、电视、灯光等等。你只需要用手机上的APP就可以随时随地进行操作，真的是超级方便！📱而且它的反应速度非常快，几乎没有延迟的情况出现。👍  另外，它的语音识别功能也是一大亮点！你只需要对着它说出你的需求，它就能准确识别并执行。比如你想听音乐，只需要说一声&ldquo;播放音乐&rdquo;，它就会立刻为你播放你喜欢的歌曲。🎶  当然啦，任何产品都不可能完美无缺，但是这款&ldquo;智慧小助手&rdquo;真的是接近完美！唯一的小缺点可能就是它的价格稍微有点高，但是对于它的功能和质量来说，真的是物超所值！💰  总的来说，这款&ldquo;智慧小助手&rdquo;真的是一款非常值得拥有的智能家居产品！姐妹们，答应我一定要试试看哦！保证你会爱上它的！❤️  最后，还是那句老话，买东西要理智消费哦！不要盲目跟风，根据自己的需求来选择最适合自己的产品！🛒  好啦，今天的分享就到这里啦！如果你们喜欢我的分享，记得点赞、评论和关注我哦！我们下次再见啦～👋,,机身颜色:雪域白;存储容量:12GB+256GB;套餐类型:官方标配,
5***6,2025-03-26 13:15:42,总体质感还不错 至于性能 用了以后追评 如果可以送个耳机就更好了,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
l***5,2025-04-07 20:55:33,其他都还行，就是像素开视频模糊，掉电有点快,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
w***6,2025-04-07 13:14:15,手机收到了试用了二天，总算还是比较满意，系统流畅丝滑，电池很耐用，能用一天多点。以旧换新的，用了五年的荣耀30por抵了近400元，还有国补500元，手机刚刚5000元，很华算。希望能耐用。,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
w***6,2025-04-05 19:44:22,国貨就是好用手感超好，,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
l***g,2025-02-25 09:49:37,很喜欢p70的外观，够特别。新机运行挺流畅的，拍照也不错，100w充电确实很快。手机和手表一直用着华为的，4年多的p40pro还在坚挺着😂,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
t***1,2025-04-22 20:07:28,做工精致，拍照清晰，画面流畅，效果不错,,机身颜色:雪域白;存储容量:12GB+256GB;套餐类型:官方标配,
渴***8,2025-04-20 21:10:14,好用，一直都是用用的华为的手机，这一款也没有让我失望呢,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
w***i,2025-03-21 13:51:35,还可以。信号挺好的，充电和玩久了会烫，其他还好，还没摸索完,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
j***0,2025-03-19 10:58:14,此用户没有填写评论!,不知道是芯片快，还是鸿蒙系统快了，反正是运行比较流畅，四面曲屏看着也很高档，拍照效果很清晰，充电时有轻微发热，平时使用过程中无发热，就是没有灵动岛用起来差了一点。本来想等80出来买80，不过国补性价比很高忍不住买了，总体用着很喜欢,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
朝***颜,2025-03-29 07:46:07,还行吧。就是今天怎么自动更新了呀，我不要更新的呀，上一个nova更新电池就不好用了，怎么还给我搞成自动协同更新呀。,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
江***拉,2025-04-10 13:04:37,到手直接升级了鸿蒙5.0系统流畅，常用应用支持也不错，支持华为，非常不错。,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
逆***魔,2025-04-10 12:03:33,给老人买的，挺好用,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
v***安,2025-02-25 17:08:37,华为Pura 70 Pro搭载了自家的麒麟9010处理器，安兔兔跑分接近100万，表明其性能足以满足大多数日常需求。即使与高通的旗舰系列相比，虽然存在一定差距，但在实际使用中，系统流畅度得到了合理优化   ​。此外，该机型配备了12GB RAM和512GB存储空间，能够轻松应对多任务场景下的使用，即使是大型手游也能保持满帧运行   ​。,,机身颜色:雪域白;存储容量:12GB+256GB;套餐类型:官方标配,
v***9,2025-05-08 19:55:41,老公很喜欢，华为品质，必出精品！,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
t***2,2025-05-05 12:23:38,挺好用的，拍照好看很喜欢，性能还可以,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
王***3,2025-03-07 10:16:27,预留速度很快，手机收到了，跟描述一样，手感也很好,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
红***8,2025-04-04 20:16:26,很好，网速快！,,机身颜色:罗兰紫;存储容量:12GB+256GB;套餐类型:官方标配,
甘***5,2025-04-04 19:30:35,整体。可能拍照，我不太会调参数吧。相信华为。我觉得不管苹果还是华为。都有优缺点。很喜欢。人无完人事无完没完。我觉得可以了。感谢国家给的补贴。。真的好幸福。,拍照我不太会调参数。,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
我***逛,2025-02-28 09:44:48,此用户没有填写评论!,华为大品牌，值得推荐，拍照很OK，鸿蒙原生系统，很丝滑。,机身颜色:雪域白;存储容量:12GB+256GB;套餐类型:官方标配,
t***1,2025-03-13 17:03:33,送给老婆的生日礼物🎁，手机不错，各方面都挺好的老婆很喜欢,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
s***2,2025-04-01 06:59:58,刚到手，先给个好评。,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
q***0,2025-03-20 13:25:06,通信音质：好  其他特色：外观设计感强，辨识度高  显示效果：完美,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
x***6,2025-02-26 22:47:56,通信音质：可以  其他特色：爱了爱了  显示效果：OK,,机身颜色:羽砂黑;存储容量:12GB+256GB;套餐类型:官方标配,
q***0,2025-04-17 14:59:43,给老婆买的，支持国产哟,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
e***u,2025-04-15 16:14:55,玩游戏很流畅！不错，拍照也挺好的！,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
煌***王,2025-03-18 11:06:24,很好很好，只有一个缺点就是电池不耐用但充电快的飞起，100W充满只需20分钟，算是弥补了,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
z***s,2025-02-15 13:13:07,东西收到了，手感很好，还没开始用，等用过之后在看吧,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
j***y,2025-03-08 17:25:39,纠结是买iPhone15还是70很久，自己是一个对照相摄像比较有要求的。 这款70照相方面。效果很好。或者说有些模式照出来的比15要好。 摄像方面的话日常模式就很普通，比不上苹果手机。有点卡停和失真，勉强可以接受，但是远距离拍摄很牛*，很惊喜 可以超远放大还很清晰。夜景也比苹果好。 总体来说，从照相满意，摄影基本能接受。  去影楼拍照，手机随手拍无处理，绝绝子。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
g***l,2025-02-23 23:40:07,一直都用华为的手机，质量非常好，系统稳定安全，从P7开始，P10P20P30PrO，Mt30Pr0，Mt40Pr0，上次用了国补省了500块钱，买回来给女儿拿去了，这次又重新买了一个，同样的配置，没有国补多出了600块钱，价格有点贵，希望能降一降价格，让我们老百姓都能用上华为，买的起华为，才能多支持华为,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
芹***a,2025-03-26 21:17:17,第一次用华为手机，特体验了几天来评论，手感，速度，屏幕色彩真的很棒！,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
l***5,2025-03-07 12:45:05,正品，通信音质好，显示效果好,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
1***诚,2025-02-27 00:14:15,感觉颜值很好看，刚拿到，过段时间再评价。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
a***0,2025-03-05 10:36:16,续航很好 运行速度也很快 习惯了用华为一如既往的给力 就是觉得拍照出现好黑的情况要每次调一下亮度,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
g***c,2025-04-04 22:56:07,首先我觉得目前续航能力确实是有点一般的，也不能说耗电快玩游戏什么的我觉得耗电还是可以的，反正目前来说我还是挺满意的,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
l***7,2025-04-29 01:10:27,Mate换成Pura，忠实的花粉，用了2天，感觉不错，慢慢品味中&hellip;,,机身颜色:雪域白;存储容量:12GB+256GB;套餐类型:官方标配,
刘***8,2025-03-21 13:05:14,真漂亮，手感也好。苹果都审美疲劳了，这个又年轻又时尚。不错,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
h***7,2025-03-21 19:24:02,手感、像素、美感都很不错。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
贾***4,2025-02-25 22:03:46,通信音质：通话清晰  显示效果：画质清晰  其他特色：整体手感也适合女生，像素很高，整体很喜欢！,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
李***c,2025-04-02 07:16:33,第一次使用华为手机，总体感觉满意,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
闪***了,2025-03-20 11:34:15,系统丝滑，手感也非常棒,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
t***8,2025-04-22 03:05:20,买的第二部pura70pro，去年国庆节前买的第一部。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
l***9,2025-04-22 18:26:47,刚刚签收后续追评,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
z***f,2025-03-02 21:29:55,原封正品，顺丰小哥送到当面开箱验货，手感超赞，信号很好，遥遥领先，赞！,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
h***n,2025-03-02 19:20:37,款式很大方，质量非常好，价钱也很合理,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
s***n,2025-02-18 18:51:26,顺丰就是靠谱 第二天就到了。现在买最划算，国补活动+线上打折，比线下专卖店还要便宜。大赞特赞👍🏻,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
p***t,2025-03-30 18:48:46,开箱后有惊喜，竟然配有快速充充电器套装，以及手机壳等，体贴入微，比某果手机更实惠，更厚道，五分点个赞,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
樱***8,2025-02-05 11:48:48,发货比较快，外形不错。第三张图是用荣耀旧手机拍的，第四张图用这部手机拍的，没有感觉太大差别。,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
t***2,2025-03-08 08:40:31,续航一般晚上充满 第二天直接百分之90 我是功能都关了的情况下 其他都还好！,,机身颜色:罗兰紫;存储容量:12GB+256GB;套餐类型:官方标配,
g***4,2025-03-07 00:39:01,颜色外观都不错，性价比挺高的,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
小***呀,2025-02-21 08:23:41,用着很流畅很丝滑，但不要升级纯血鸿蒙，bug太多，正常4.2版本，总体用着很棒，白色的很好看，但是我带了个手机壳给隐藏了,,机身颜色:雪域白;存储容量:12GB+256GB;套餐类型:官方标配,
t***8,2025-02-27 15:49:21,产品优点：相机拍照清晰、颜值高、功能较多、流畅度还可以。 缺点：耗电快、容易发烫等。 物流速度🐢,,机身颜色:雪域白;存储容量:12GB+256GB;套餐类型:官方标配,
c***8,2025-02-03 11:17:07,1月28号上午货物送到菜鸟驿站时本人正在上班；等中午下班驿站居然春节放假了；直到2月1号才取到货；拆箱看了没有问题，摄影功能强悍。系统也很流畅。终于能够取代我用了7年的iphone7plus了。,,机身颜色:罗兰紫;存储容量:12GB+256GB;套餐类型:官方标配,
i***0,2025-03-14 11:54:50,这款手机性价比很高，用了国补4890的样子。pro系列质感手感优胜些。包括运行速度，通话音质有降噪的功能，拍照尤其近拍很绝。对不出差的手机党来说，不频繁刷抖音一天够用的。耗电量这块应该还是有提升空间的。 最大的缺点可能是手机发烫吧。目前是轻微的感受。,,机身颜色:雪域白;存储容量:12GB+256GB;套餐类型:官方标配,
t***5,2025-03-13 07:47:54,货收到了，纠结了很久，结果还是选择了华为，真的好用，也得好看！,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
t***0,2025-03-23 18:17:53,满足我销售工作的日常使用。比苹果好用,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
快***少,2025-03-12 22:10:22,其他都好，虽然耗电快，但是充电更快！,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
t***1,2025-03-03 12:10:15,总体来说体验还是不错就是玩游戏感觉容易发热,,机身颜色:羽砂黑;存储容量:12GB+256GB;套餐类型:官方标配,
t***4,2025-04-04 10:23:19,升级鸿蒙5.0了还行。就企业微信有些用不了,,机身颜色:罗兰紫;存储容量:12GB+512GB;套餐类型:官方标配,
胡***8,2025-04-04 19:43:26,手机非常非常好，,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
小***3,2025-05-02 11:22:28,刚开始手机会很烫，但是到后面就慢慢好了,,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
清***8,2025-03-01 11:22:24,非常漂亮，运行速度快，  通信音质：很好  其他特色：拍照很好  显示效果：不错,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
t***8,2025-04-02 09:58:36,质量很好，外观设计创新大胆，使用流畅顺滑。,推荐一下,机身颜色:雪域白;存储容量:12GB+512GB;套餐类型:官方标配,
杨***i,2025-04-01 20:33:03,初步测试是正品,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
怀***1,2025-02-16 07:33:41,手机挺好的 速度快,,机身颜色:羽砂黑;存储容量:12GB+512GB;套餐类型:官方标配,
